time	x	y	v_x	v_y
570240.000000	-2513269613.471234	3959885216.973723	-4365.954766	6902.832725	19075366.683577
570300.000000	-2513531570.739635	3960299386.909555	-4365.954181	6902.831803	19075361.572274
570360.000000	-2513793527.972930	3960713556.790076	-4365.953596	6902.830881	19075356.462041
570420.000000	-2514055485.171128	3961127726.615297	-4365.953011	6902.829960	19075351.352877
570480.000000	-2514317442.334235	3961541896.385229	-4365.952426	6902.829038	19075346.244783
570540.000000	-2514579399.462258	3961956066.099885	-4365.951841	6902.828117	19075341.137758
570600.000000	-2514841356.555206	3962370235.759275	-4365.951257	6902.827196	19075336.031801
570660.000000	-2515103313.613086	3962784405.363411	-4365.950672	6902.826275	19075330.926913
570720.000000	-2515365270.635904	3963198574.912306	-4365.950088	6902.825355	19075325.823092
570780.000000	-2515627227.623668	3963612744.405970	-4365.949504	6902.824434	19075320.720339
570840.000000	-2515889184.576386	3964026913.844414	-4365.948920	6902.823514	19075315.618653
570900.000000	-2516151141.494064	3964441083.227651	-4365.948336	6902.822594	19075310.518034
570960.000000	-2516413098.376711	3964855252.555692	-4365.947752	6902.821674	19075305.418482
571020.000000	-2516675055.224333	3965269421.828548	-4365.947169	6902.820754	19075300.319996
571080.000000	-2516937012.036938	3965683591.046231	-4365.946585	6902.819835	19075295.222575
571140.000000	-2517198968.814533	3966097760.208752	-4365.946002	6902.818916	19075290.126221
571200.000000	-2517460925.557125	3966511929.316124	-4365.945418	6902.817997	19075285.030931
571260.000000	-2517722882.264722	3966926098.368356	-4365.944835	6902.817078	19075279.936707
571320.000000	-2517984838.937331	3967340267.365462	-4365.944252	6902.816159	19075274.843547
571380.000000	-2518246795.574960	3967754436.307452	-4365.943669	6902.815241	19075269.751451
